domain,i,j,value1,value2
plasma,2,71,24938.5661,1197787.6984
plasma,2,72,24938.5661,1197787.6984
plasma,2,73,24938.5661,1197787.6984
plasma,2,74,24938.5661,1197787.6984
plasma,2,75,24938.5661,1197787.6984
plasma,2,76,24938.5661,1197787.6984
plasma,2,77,24938.5661,1197787.6984
plasma,2,78,24938.5661,1197787.6984
plasma,2,79,24938.5661,1197787.6984
plasma,2,80,24938.5661,1197787.6984
plasma,2,81,24938.5661,1197787.6984
plasma,2,82,24938.5661,1197787.6984
plasma,2,83,24938.5661,1197787.6984
plasma,2,84,24938.5661,1197787.6984
plasma,2,85,24938.5661,1197787.6984
plasma,2,86,24938.5661,1197787.6984
plasma,2,87,24938.5661,1197787.6984
plasma,2,88,24938.5661,1197787.6984
plasma,2,89,24938.5661,1197787.6984
plasma,2,90,24938.5661,1197787.6984
plasma,2,91,24938.5661,1197787.6984
plasma,2,92,24938.5661,1197787.6984
plasma,2,93,24938.5661,1197787.6984
plasma,2,94,24938.5661,1197787.6984
plasma,2,95,24938.5661,1197787.6984
plasma,2,96,24938.5661,1197787.6984
plasma,2,97,24938.5661,1197787.6984
plasma,2,98,24938.5661,1197787.6984
plasma,2,99,24938.5661,1197787.6984
plasma,2,100,24938.5661,1197787.6984
plasma,2,101,24938.5661,1197787.6984
plasma,2,102,24938.5661,1197787.6984
plasma,2,103,24938.5661,1197787.6984
plasma,2,104,24938.5661,1197787.6984
plasma,2,105,24938.5661,1197787.6984
plasma,2,106,24938.5661,1197787.6984
plasma,2,107,24938.5661,1197787.6984
plasma,2,108,24938.5661,1197787.6984
plasma,2,109,24938.5661,1197787.6984
plasma,2,110,24938.5661,1197787.6984
plasma,2,111,24938.5661,1197787.6984
plasma,2,112,24938.5661,1197787.6984
plasma,2,113,24938.5661,1197787.6984
plasma,2,114,24938.5661,1197787.6984
plasma,2,115,24938.5661,1197787.6984
plasma,2,116,24938.5661,1197787.6984
plasma,2,117,24938.5661,1197787.6984
plasma,2,118,24938.5661,1197787.6984
plasma,2,119,24938.5661,1197787.6984
plasma,2,120,24938.5661,1197787.6984
plasma,2,121,24938.5661,1197787.6984
plasma,2,122,24938.5661,1197787.6984
plasma,2,123,24938.5661,1197787.6984
plasma,2,124,24938.5661,1197787.6984
plasma,2,125,24938.5661,1197787.6984
plasma,2,126,24938.5661,1197787.6984
plasma,2,127,24938.5661,1197787.6984
plasma,2,128,24938.5661,1197787.6984
plasma,2,129,24938.5661,1197787.6984
plasma,2,130,24938.5661,1197787.6984
plasma,2,131,24938.5661,1197787.6984
plasma,2,132,24938.5661,1197787.6984
plasma,2,133,24938.5661,1197787.6984
plasma,2,134,24938.5661,1197787.6984
plasma,2,135,24938.5661,1197787.6984
plasma,2,136,24938.5661,1197787.6984
plasma,2,137,24938.5661,1197787.6984
plasma,2,138,24938.5661,1197787.6984
plasma,2,139,24938.5661,1197787.6984
plasma,2,140,24938.5661,1197787.6984
plasma,2,141,24938.5661,1197787.6984
plasma,2,142,24938.5661,1197787.6984
plasma,2,143,24938.5661,1197787.6984
plasma,2,144,24938.5661,1197787.6984
plasma,2,145,24938.5661,1197787.6984
plasma,2,146,24938.5661,1197787.6984
plasma,2,147,24938.5661,1197787.6984
plasma,2,148,24938.5661,1197787.6984
plasma,2,149,24938.5661,1197787.6984
plasma,2,150,24938.5661,1197787.6984
plasma,2,151,24938.5661,1197787.6984
plasma,2,152,24938.5661,1197787.6984
plasma,2,153,24938.5661,1197787.6984
plasma,2,154,24938.5661,1197787.6984
plasma,2,155,24938.5661,1197787.6984
plasma,2,156,24938.5661,1197787.6984
